Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","What products or platforms did you find to be most helpful when you first started studying data science?  (Select all that apply) - Selected Choice - Online courses (Coursera, EdX, etc)","What products or platforms did you find to be most helpful when you first started studying data science?  (Select all that apply) - Selected Choice - Video platforms (YouTube, Twitch, etc)","What products or platforms did you find to be most helpful when you first started studying data science?  (Select all that apply) - Selected Choice - Kaggle (notebooks, competitions, etc)",What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,"Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - Python,Which of the following integrated development environments (IDE's) do you use on a regular basis?  (Select all that apply) - Selected Choice -  Jupyter Notebook,Do you use any of the following data visualization libraries on a regular basis?  (Select all that apply) - Selected Choice -  Matplotlib ,For how many years have you used machine learning methods?
90590,6,0,39,0,1,1,0,3,2,2,0,1,1,1
365,2,0,35,1,1,0,1,3,0,0,0,0,0,8
1798,3,0,20,0,1,1,1,1,2,1,0,0,0,8
561,5,4,20,0,0,0,0,0,1,5,0,0,0,8
556,2,0,3,0,0,0,0,3,0,3,0,0,0,4
844,7,0,56,0,0,0,0,2,1,1,1,1,1,7
457,0,0,43,1,0,0,0,0,1,3,0,0,0,0
261,2,0,20,0,0,0,0,3,0,0,0,0,0,0
391,2,0,20,0,1,1,1,3,0,4,0,0,0,0
251,1,0,7,1,0,1,0,3,2,3,0,0,0,2
391,1,0,5,1,0,1,0,0,1,0,0,0,1,0
972,5,4,43,1,0,1,0,0,1,4,0,0,0,8
1821,0,4,20,1,1,0,1,3,0,5,0,1,1,9
245,1,4,55,1,0,1,0,0,1,0,0,0,0,8
395,0,0,20,1,1,1,0,0,1,0,0,1,0,0
229,8,0,34,1,1,1,1,3,0,6,1,1,1,9
151,3,0,36,1,0,1,0,3,0,0,0,0,1,9
359,1,4,27,0,0,1,1,0,1,0,1,1,1,8
579,2,4,20,0,0,1,0,0,1,0,0,0,0,0
516,1,0,35,0,1,1,1,0,1,0,0,0,0,0
350,2,0,30,1,1,1,0,3,0,0,0,0,0,0
5172,4,0,48,0,1,0,1,3,2,1,0,0,1,1
278,2,0,6,1,1,1,1,0,1,0,0,1,0,2
689,2,0,16,1,1,1,1,3,0,3,0,0,0,0
328,6,0,34,0,0,1,0,0,1,2,1,1,1,7
233,2,0,55,1,0,0,1,3,0,0,0,0,1,0
394,3,0,35,0,0,1,0,5,0,4,0,1,1,0
309,0,0,20,1,0,1,0,0,1,0,0,0,0,8
388,1,0,24,1,0,1,0,0,1,4,0,0,0,8
574,2,0,27,0,0,0,1,0,1,5,0,0,0,7
444,4,0,55,1,0,1,0,1,2,3,0,0,0,0
367,3,0,29,0,0,1,0,3,2,0,0,0,0,8
988,7,0,10,0,0,1,0,3,0,0,0,0,0,0
185,1,4,50,1,1,1,1,0,1,0,0,1,1,9
1192,5,0,48,0,0,1,1,0,1,0,0,1,0,8
345,0,0,20,1,1,1,0,0,1,0,0,0,0,0
468,2,0,33,1,0,1,0,0,1,0,0,0,0,8
178,0,4,20,1,0,1,0,3,0,7,1,1,1,9
747,1,4,1,1,0,1,0,0,1,0,0,0,0,8
680,1,0,20,0,1,1,0,0,1,0,0,0,0,8
327,2,4,5,1,0,1,0,1,2,5,0,1,1,0
348,0,4,6,1,1,1,0,3,0,0,0,0,0,8
228,2,4,55,1,0,0,0,3,0,5,0,0,0,8
466,1,0,20,1,0,1,1,3,0,0,1,0,0,8
248,0,0,35,1,0,1,0,0,1,0,0,0,1,7
494,0,0,20,1,1,1,1,0,1,5,0,0,0,7
507,3,4,34,0,0,1,0,1,2,4,0,0,0,0
458,2,4,55,1,1,1,1,3,0,0,0,0,0,0
2793,4,0,45,1,0,0,0,1,2,4,0,0,0,6
129,3,0,55,0,0,1,0,3,0,0,0,0,1,0
556,3,0,20,0,1,0,0,3,2,4,1,0,0,7
634,3,0,20,0,0,0,1,3,2,0,0,0,0,8
323,6,0,54,0,0,0,1,3,0,1,0,0,1,4
294,6,0,23,1,0,0,1,3,2,1,0,0,1,8
1074,0,0,20,1,1,0,1,7,1,7,1,1,1,9
1600,0,0,20,1,1,1,1,0,1,5,0,0,0,8
3345,2,4,9,0,0,0,0,3,2,0,0,0,0,2
320,6,0,29,0,1,1,0,1,2,2,0,1,0,2
314,0,0,20,1,0,1,0,3,0,0,0,0,0,2
249,2,0,55,0,1,0,1,3,0,3,0,1,1,7
3901,4,0,26,0,1,0,0,2,1,0,0,0,0,2
301047,2,0,20,0,0,1,0,2,1,5,0,0,0,0
487,2,0,17,1,0,1,0,6,1,5,0,0,0,8
383,4,4,46,0,0,1,0,3,2,0,0,0,0,8
213,0,0,29,1,0,0,0,0,1,5,1,1,1,7
238,4,0,20,0,1,1,0,0,1,5,0,0,0,8
316,2,0,34,1,1,0,0,3,0,4,1,1,1,7
147,2,0,20,0,0,1,0,3,0,5,1,1,1,9
593,3,0,20,0,0,1,0,3,0,4,0,0,0,5
1203,6,0,34,0,0,1,0,3,0,1,0,0,0,4
161,2,0,14,1,1,0,1,0,1,5,0,0,1,9
485,3,0,5,0,0,1,0,3,2,4,0,0,0,2
365,1,0,20,0,1,1,1,0,1,5,0,0,0,7
278,0,0,20,1,1,0,1,0,1,3,0,1,0,7
383,10,4,55,0,0,0,1,3,0,5,1,1,1,7
701,6,0,55,0,0,0,0,3,2,2,0,1,0,1
550,2,0,20,1,0,1,0,0,1,5,0,0,0,8
220,1,0,33,1,0,1,0,0,1,3,0,1,1,0
408,2,0,26,0,1,1,1,4,1,0,0,1,0,0
1099,2,0,20,0,0,0,0,0,1,1,0,1,1,7
44864,0,0,6,1,0,0,0,0,1,3,0,1,0,8
749,9,0,55,0,0,0,1,1,2,2,0,1,1,6
933,6,0,13,1,1,0,1,3,2,6,1,1,1,9
226,2,0,33,1,0,0,1,0,1,5,0,0,1,8
370,8,0,55,1,0,1,0,1,0,2,0,0,0,1
252,1,0,55,0,1,1,1,0,1,3,0,0,0,0
1009,10,0,55,0,1,1,1,0,1,6,1,1,1,9
1268,9,0,48,0,1,1,0,1,2,3,0,0,0,2
650,1,0,20,1,1,1,1,0,1,5,0,0,0,8
366,2,0,55,0,1,1,1,3,2,1,0,1,0,6
380,1,0,20,0,0,1,0,0,1,3,0,0,0,2
476,2,0,30,0,0,0,0,3,0,4,0,0,0,0
1391,0,0,20,1,0,1,0,0,1,3,0,0,0,8
573,9,0,55,0,0,1,0,3,0,4,1,1,1,7
282,0,4,20,1,0,1,1,0,1,3,0,0,1,0
468,0,0,0,1,1,0,1,3,0,0,0,0,0,0
203,1,4,20,1,0,1,0,0,1,5,0,0,1,7
841,1,4,20,0,0,0,1,3,0,5,1,0,1,7
274,6,0,5,1,0,0,1,6,1,6,1,1,1,9
295,0,0,20,1,0,1,1,0,1,0,1,1,1,2
315,0,0,35,1,1,1,1,0,1,5,0,1,0,7
383,1,4,20,0,0,1,0,0,1,4,0,0,0,7
1797,10,0,55,1,0,0,0,3,0,6,1,1,1,9
302,4,0,30,0,0,1,1,2,1,0,0,0,0,8
804,3,0,13,1,1,1,1,3,2,0,1,1,1,0
333,1,0,20,0,1,1,1,3,0,0,0,0,0,7
640,2,0,37,0,1,0,0,0,1,4,0,1,0,0
642,5,0,20,0,1,1,0,3,2,1,0,1,0,7
616,5,0,55,0,0,0,0,0,1,2,0,0,0,5
394,0,0,52,1,0,1,0,0,1,5,0,0,0,8
814,0,0,20,1,1,1,1,0,1,0,0,0,1,7
8534,0,0,26,1,1,0,1,7,1,7,1,1,1,9
409,2,0,20,1,1,1,1,3,0,1,0,0,0,0
112461,4,0,20,0,0,0,0,3,0,0,0,0,0,2
1151,9,0,29,0,0,1,1,3,2,5,1,1,1,7
463,8,0,5,1,1,0,0,1,2,1,0,0,0,6
176,7,0,39,0,0,0,1,3,0,6,1,1,1,9
1852,0,0,35,1,0,0,0,3,0,0,0,0,0,8
271,2,4,20,1,0,0,1,3,2,5,1,1,1,7
387,0,0,20,1,1,1,0,0,1,4,0,0,1,7
480,2,0,55,0,0,1,1,3,0,3,0,1,0,2
449,1,0,31,1,0,1,0,0,1,5,1,1,1,8
448,3,0,20,0,1,0,0,0,1,6,1,1,1,9
248,1,0,20,0,0,1,1,3,0,0,0,0,0,0
19735,5,0,49,0,0,1,0,3,2,0,0,0,1,2
297,5,0,54,0,1,1,1,1,2,0,0,0,0,2
209,0,2,20,1,0,0,1,0,1,3,0,1,1,9
226,5,2,55,1,1,1,1,5,2,0,1,1,1,9
628,9,0,4,0,1,0,1,3,2,2,0,1,1,7
233,3,0,20,0,0,1,0,3,2,6,1,1,1,9
384,0,0,20,1,0,0,1,0,1,5,0,0,0,8
306,0,0,20,1,1,1,1,0,1,0,0,0,0,8
169,2,4,20,0,0,0,1,3,0,6,1,1,1,9
331,3,4,22,1,1,1,1,3,0,0,0,0,0,0
1161,5,0,20,0,1,0,1,0,1,1,0,0,1,8
522,3,0,20,1,0,0,1,3,0,5,0,0,0,8
125,0,0,20,1,0,1,1,0,1,0,0,1,1,9
696,1,0,45,1,1,0,0,0,1,4,0,1,0,4
2270,6,0,20,0,1,1,0,3,0,3,0,0,0,0
24590,3,4,18,0,1,0,1,3,0,0,1,1,1,7
553,2,4,10,0,0,1,0,3,2,3,1,1,1,7
843,7,0,34,0,1,0,0,3,0,2,0,1,0,1
882,4,0,55,0,0,0,1,1,2,2,0,0,0,6
198,2,0,26,0,1,0,1,0,1,5,0,1,0,7
385,0,0,20,1,0,1,0,4,1,0,0,0,0,8
1708,7,0,55,0,1,1,1,1,2,2,0,0,0,1
442,0,0,20,1,1,1,1,3,0,0,0,1,1,8
14819,2,0,20,0,1,1,1,3,0,5,0,0,0,8
2295,2,0,6,1,0,1,0,0,1,4,0,0,1,9
512,0,4,13,1,0,1,1,6,1,0,1,1,1,0
221,1,0,20,1,1,0,0,3,2,7,1,1,1,9
329,2,4,9,1,0,0,0,1,2,5,0,0,0,2
225,2,0,20,1,0,1,1,0,1,5,0,0,0,8
199,1,0,35,1,0,0,0,3,0,0,0,0,0,8
628,1,0,20,0,0,1,0,0,1,0,0,0,0,0
832,4,0,25,0,0,0,0,5,2,0,0,0,0,0
604,5,0,20,0,0,0,1,4,1,1,0,0,1,7
395,3,0,35,1,0,1,0,1,2,0,0,0,0,2
1008,5,0,7,0,0,1,1,0,1,5,0,1,1,8
196,6,0,20,1,1,0,1,1,2,6,1,1,1,9
238,3,0,45,0,1,0,1,3,0,0,1,1,1,8
164,7,0,10,1,0,0,1,4,1,6,1,1,1,9
1021,6,4,45,1,0,1,0,2,1,3,0,0,0,5
1647,3,4,20,0,0,0,0,3,0,0,0,0,0,8
320,3,0,20,0,1,1,0,4,1,6,1,1,1,9
6854,1,0,9,1,1,0,1,3,0,3,0,1,1,9
584,0,4,20,1,1,0,1,0,1,5,0,0,0,7
124,3,0,55,0,0,1,1,3,0,0,0,1,1,9
2566,6,0,26,0,1,0,1,3,2,3,0,1,1,7
186,5,0,5,1,0,1,0,3,0,5,0,0,1,7
552,2,4,20,0,1,0,0,0,1,3,0,0,1,8
239,2,0,20,1,0,1,1,3,2,5,0,1,1,7
583,5,4,50,1,1,1,1,1,2,1,0,0,0,6
164,10,0,55,1,0,0,0,0,1,2,0,0,0,1
425,2,0,35,0,0,1,1,3,2,4,0,0,0,5
720,4,0,55,0,0,0,0,3,0,1,0,0,0,0
6540,2,0,20,0,1,1,0,2,1,0,0,0,0,2
933,3,0,5,0,1,0,1,2,1,1,0,0,0,7
241,0,0,20,1,1,1,0,2,1,0,0,1,1,7
176,3,0,38,0,0,0,1,6,1,6,1,1,1,9
273,5,0,34,0,0,0,1,0,1,5,1,1,1,7
399,2,0,34,1,1,0,1,3,0,3,0,1,0,8
154,2,0,20,0,1,1,1,3,0,0,0,1,1,9
1211,3,0,20,0,1,0,1,5,0,4,1,1,1,7
2800,4,0,9,0,1,0,0,3,2,1,0,1,1,6
123,3,0,24,0,0,1,0,3,0,6,1,1,1,9
232,0,0,20,1,0,1,1,0,1,5,1,1,1,7
244,3,0,34,0,0,1,0,3,0,5,0,0,1,9
445,3,0,20,0,0,1,0,3,0,5,0,0,0,8
191,3,0,50,0,1,1,1,2,1,6,1,1,1,9
591,3,4,20,0,1,0,0,2,1,3,0,0,0,8
304,0,0,35,1,1,0,0,3,0,3,0,0,0,8
205,3,0,20,1,1,0,1,1,0,3,1,1,1,8
269,0,0,20,1,1,1,0,3,0,7,1,1,1,9
13934,6,4,21,0,0,0,0,5,2,1,1,1,1,6
326,1,0,48,0,1,1,0,0,1,5,0,0,0,7
316,3,4,55,1,0,1,0,1,2,0,0,0,0,8
222,5,4,10,0,1,0,0,3,0,6,1,1,1,9
353,2,0,20,0,0,1,1,0,1,0,0,0,0,7
199,0,4,20,1,1,1,0,3,0,0,0,0,0,8
181,3,0,7,1,1,0,0,1,2,4,0,0,0,6
254,5,0,5,1,1,0,0,2,1,0,0,0,0,0
232,0,0,20,1,1,0,1,3,0,5,0,1,1,7
560,4,4,15,0,1,0,1,1,2,0,0,0,0,6
378,5,0,17,1,0,1,0,0,1,5,0,1,0,8
444,4,0,26,0,1,1,1,3,0,4,0,0,1,5
189,0,0,31,1,0,1,0,0,1,5,0,1,0,7
5306,9,0,5,1,0,1,0,5,2,6,1,1,1,9
358,5,4,20,0,0,1,0,2,1,0,0,0,0,0
1170,2,0,20,0,1,0,1,3,0,0,0,0,0,8
11212,2,0,5,0,1,0,1,7,1,7,1,1,1,9
281,1,4,20,1,0,1,0,3,2,0,0,0,0,0
866,5,0,30,0,1,0,1,3,0,2,0,0,0,6
343,1,0,13,1,0,1,0,0,1,0,0,0,0,2
255,3,4,55,0,0,0,1,3,0,1,0,0,0,6
345,3,0,55,0,0,0,0,0,1,4,0,0,0,0
490,3,0,26,0,0,0,0,3,0,4,0,0,0,5
422,5,4,20,0,0,1,0,3,0,5,0,0,0,8
423,8,0,5,0,0,0,1,0,1,2,1,1,1,7
246,1,0,35,1,0,1,1,0,1,0,0,0,0,8
7401,2,0,48,0,1,1,0,3,2,4,0,1,1,6
716,3,0,21,0,0,1,0,3,2,0,0,0,0,0
364,1,0,51,1,1,0,1,0,1,5,0,1,0,8
732,0,0,5,1,1,0,1,6,1,5,0,1,1,8
450,5,0,20,0,1,0,1,0,1,1,0,0,1,8
957,0,0,20,1,0,0,0,0,1,4,0,1,0,2
218,0,4,20,1,1,0,1,0,1,3,0,1,1,0
376,4,0,20,0,0,1,0,3,2,1,0,0,1,9
206,1,4,45,1,1,1,1,0,1,5,1,1,0,7
188,0,0,41,1,1,1,0,0,1,0,0,1,1,8
360,0,0,54,1,0,1,0,0,1,3,0,1,0,0
18251,8,0,55,0,0,0,1,6,1,6,1,1,1,9
486,3,0,20,1,0,1,0,2,1,5,0,0,0,8
2333338,3,0,26,0,1,0,0,0,1,0,0,0,0,0
151,2,4,55,1,0,1,0,6,1,5,1,1,1,7
220,9,0,55,0,1,0,0,0,1,2,0,1,1,5
922,10,0,20,0,1,1,1,1,2,2,0,0,1,1
1314,0,0,20,1,1,1,1,3,0,5,0,0,0,8
148,7,0,55,1,0,1,0,3,0,6,1,1,1,9
245,1,4,2,1,1,0,1,3,0,6,1,1,1,9
452,1,0,20,1,1,1,1,0,1,3,0,1,0,8
349,0,0,20,1,1,0,1,3,0,0,0,0,0,8
466,4,0,51,1,0,0,0,1,2,3,0,0,0,2
145,0,0,55,1,0,1,0,3,0,0,0,1,1,7
514,4,0,20,0,0,1,1,3,0,3,0,1,1,8
966,4,0,5,0,0,0,1,0,1,0,0,0,0,8
442,1,4,20,1,1,0,1,3,2,3,1,0,1,8
140,0,0,20,1,1,0,1,2,1,5,0,1,0,8
1440,2,0,14,0,0,1,1,3,0,3,0,0,0,5
638,7,0,2,0,0,1,0,0,1,4,0,0,0,2
170,5,4,55,1,0,0,0,6,1,6,1,1,1,9
502,5,0,30,0,1,1,1,3,2,5,0,0,1,8
815,6,0,15,1,0,1,0,1,2,0,0,0,0,8
313,3,0,55,0,1,1,0,0,1,5,0,0,1,7
192,1,4,20,1,0,0,1,4,1,5,0,0,1,7
470,6,0,20,0,0,0,1,2,1,1,0,0,0,5
294,0,0,20,1,1,1,1,3,0,0,0,0,0,8
541,7,0,55,0,1,1,0,3,2,5,0,0,0,7
671,9,0,55,0,0,0,1,5,2,2,0,0,0,1
708,1,0,56,0,0,1,0,3,0,0,0,0,0,0
2419,1,0,54,1,0,0,1,0,1,3,1,1,1,9
231,7,0,55,0,0,1,0,0,1,2,0,0,0,0
7183,6,0,23,0,1,0,0,3,0,4,0,0,0,2
829,8,0,26,0,0,0,0,0,1,0,0,0,0,2
268,4,0,55,1,0,0,1,3,0,4,0,0,0,4
1187,5,0,26,0,1,1,0,4,1,1,0,1,1,7
426,4,0,10,0,0,1,0,6,1,3,1,1,1,7
1577,6,0,34,0,0,1,0,0,1,4,0,0,1,7
193,1,4,20,0,1,1,1,0,1,5,0,0,1,7
1087,4,0,29,0,0,0,1,3,0,0,0,1,1,8
304,1,0,35,1,0,1,0,3,0,0,0,0,0,0
28418,1,0,55,1,0,0,0,3,2,3,0,0,0,4
382,1,0,20,0,0,1,1,0,1,3,0,0,0,7
235,3,0,20,1,0,1,0,0,1,5,0,0,0,8
148,1,0,20,1,0,0,1,2,1,0,0,1,1,9
263,2,0,36,1,1,0,1,6,1,3,1,1,1,4
602,2,0,20,0,0,1,0,3,0,5,0,0,0,8
3668,5,0,8,0,0,0,0,3,0,3,0,0,0,0
294,3,4,7,1,0,1,1,3,0,4,0,0,0,6
427,2,0,20,0,0,1,0,1,0,5,0,0,0,8
237,0,0,20,1,1,1,0,0,1,0,0,1,0,8
266,2,0,55,1,1,1,1,7,1,7,1,1,1,9
1021,0,0,20,1,1,1,1,0,1,5,0,1,1,7
323,2,0,9,1,1,1,0,1,2,4,0,1,0,4
532,6,0,55,0,0,0,0,3,0,5,0,0,0,8
506,0,4,20,1,0,1,0,0,1,0,0,1,0,8
423,0,0,20,1,0,1,0,0,1,0,0,0,0,8
424,2,0,33,1,0,0,1,0,1,0,0,0,0,8
297,6,0,23,1,1,0,0,0,1,4,0,1,0,6
927,8,0,5,0,0,1,0,3,2,2,0,0,0,1
868,3,0,10,1,1,1,1,0,1,5,0,1,1,8
244,0,0,20,1,0,1,0,0,1,3,0,0,0,2
195,1,0,20,1,1,0,1,2,1,0,0,1,1,0
758,4,0,30,1,0,1,0,3,0,0,1,0,1,8
290,0,4,21,1,0,1,0,2,1,5,0,0,0,8
710,0,0,34,1,0,0,0,0,1,0,0,0,0,8
154,7,0,46,0,0,0,1,3,0,2,0,0,1,9
688,1,4,34,1,0,0,0,0,1,5,0,0,0,8
323,2,0,2,0,0,1,1,0,1,1,0,0,0,2
391,1,0,3,1,0,1,0,3,0,0,1,1,1,8
374,0,0,5,1,0,1,0,0,1,0,0,0,0,8
2399,1,4,29,1,0,0,1,3,2,0,0,1,0,8
613,4,0,20,0,0,0,1,3,2,0,0,0,0,8
226,7,0,35,1,1,0,0,5,0,6,1,1,1,9
286,0,0,20,1,1,1,0,0,1,0,0,0,0,8
21779,4,0,3,0,1,1,1,3,0,0,0,0,0,8
382,1,0,27,1,0,0,1,0,1,3,0,0,0,2
160,3,0,20,1,1,0,1,7,1,7,1,1,1,9
1163,3,0,11,1,0,1,0,1,2,1,0,0,0,6
730,6,0,20,0,0,1,1,1,2,1,0,0,0,4
175,1,3,1,1,1,0,1,0,1,0,0,0,0,8
115902,0,0,3,1,0,1,1,3,2,5,1,1,1,9
183130,1,4,50,1,1,1,0,3,0,0,0,0,1,9
237,7,0,20,0,0,1,1,3,2,0,1,1,1,9
312,3,0,34,1,1,1,1,3,2,1,0,0,0,6
288,2,1,54,1,0,1,1,3,0,3,0,0,0,2
153,0,0,20,1,1,1,1,2,1,6,1,1,1,9
14852,3,4,9,0,1,0,0,3,2,0,0,0,0,8
216,2,0,54,1,0,1,1,1,2,0,0,1,0,2
771,4,4,34,0,1,1,1,3,0,0,1,1,1,0
463,1,4,20,0,1,1,0,0,1,0,1,1,1,7
666,2,0,57,0,1,0,1,2,1,6,1,1,1,9
1098,0,4,0,1,0,1,0,2,1,0,0,0,0,7
622,1,4,20,1,0,0,1,2,1,0,0,1,1,8
247,7,0,7,1,0,0,0,3,0,2,0,0,0,0
1113,2,0,3,1,1,0,1,7,1,7,1,1,1,9
1744,6,0,28,1,0,0,0,3,0,0,0,0,0,0
316,3,0,34,0,0,1,1,1,2,3,0,0,0,0
15626,6,0,13,0,0,1,0,1,2,4,0,0,0,6
173,0,0,55,1,0,1,0,0,1,3,0,0,0,2
233,2,0,45,1,0,0,0,0,1,3,0,0,1,0
447,7,0,20,0,1,1,1,3,0,2,1,1,1,7
431,1,0,20,1,0,1,0,3,0,0,0,0,0,0
368,1,0,20,0,0,0,1,3,0,0,1,1,1,7
283,1,0,20,1,1,1,0,0,1,6,1,1,1,9
749931,1,0,20,0,0,1,1,0,1,0,0,1,0,9
134,3,0,20,1,1,0,1,5,2,7,1,1,1,9
181,3,0,25,0,1,0,1,1,0,6,1,1,1,9
231,1,0,34,1,1,1,1,2,1,0,0,1,1,8
369,2,0,33,1,0,1,0,3,0,3,0,0,0,0
3928,5,0,55,1,0,1,1,0,1,5,0,1,1,8
4760,5,4,41,1,1,0,1,7,1,7,1,1,1,9
192,0,0,3,1,1,1,0,0,1,5,0,0,0,8
316,0,0,56,1,0,1,0,0,1,0,0,0,0,0
385,0,0,20,1,1,1,0,0,1,0,0,0,0,0
387,1,0,20,1,0,1,0,3,2,3,0,0,1,4
336,7,0,25,0,0,0,0,1,2,1,0,0,0,5
141,0,3,20,1,1,0,1,0,1,6,1,1,1,9
10046,3,0,15,0,0,1,0,3,0,4,0,0,0,6
1816,3,0,12,0,0,1,0,3,2,0,1,0,1,8
304,1,4,20,0,1,0,1,3,0,5,1,1,0,8
125,1,4,13,0,1,0,0,0,1,0,0,1,1,9
840,8,0,55,0,0,1,0,1,2,2,0,1,0,4
616,0,0,46,1,1,0,1,3,2,3,0,0,0,0
422,4,0,29,1,0,0,0,1,2,3,0,1,0,7
225,0,0,29,1,0,1,1,3,0,0,0,0,0,7
377,4,0,20,0,0,1,0,3,0,6,1,1,1,9
333,9,0,54,0,0,1,0,1,2,2,0,0,0,6
26959,4,4,1,1,1,1,1,6,1,5,0,1,1,7
319,7,0,55,1,0,1,1,3,0,2,0,1,0,2
248,0,0,20,1,0,1,0,0,1,3,0,0,0,0
14295,7,0,25,0,1,0,1,3,0,5,1,1,1,8
245,6,0,21,0,1,0,1,0,1,3,0,1,0,7
242,1,4,5,1,0,1,1,6,1,5,0,0,0,7
240,0,4,20,1,1,1,1,0,1,5,0,1,0,8
201,1,0,20,1,0,0,0,2,1,5,0,1,1,8
271,4,0,20,1,0,0,1,0,1,0,0,1,1,9
3175,0,0,20,1,0,0,1,0,1,0,0,0,1,8
505,2,0,13,0,0,1,0,3,0,0,0,1,0,7
502,3,4,38,0,1,1,1,3,0,4,0,0,0,8
800,7,0,3,0,0,1,1,0,1,5,1,0,1,7
326,2,0,15,0,1,0,0,3,2,4,0,0,0,5
241,0,0,20,1,0,0,0,0,1,3,0,0,0,0
148,5,0,55,0,1,0,0,3,0,1,0,0,1,9
675,2,4,9,1,1,1,0,3,2,0,0,1,0,0
759,8,0,55,0,1,0,0,1,2,0,0,1,1,8
285,7,0,27,0,0,1,0,0,1,3,0,0,0,0
936,0,0,52,1,1,0,1,7,1,7,1,1,1,9
1038,5,0,26,0,1,0,1,0,1,2,0,1,1,0
588,1,0,20,0,1,1,0,2,1,3,0,0,0,2
418,5,4,38,1,1,0,0,0,1,0,0,1,1,8
3265,4,0,55,0,1,0,1,6,1,5,0,0,0,0
597,3,0,20,0,1,1,1,2,1,5,0,1,1,7
816,2,4,20,0,1,1,0,3,0,5,0,0,0,8
794,5,0,44,1,0,0,0,3,0,1,0,0,0,2
889,7,0,5,0,0,1,0,0,1,5,0,0,0,8
1255,3,4,54,0,0,0,0,1,2,4,0,1,0,5
258,0,0,20,1,1,0,1,0,1,5,0,0,0,7
256,0,0,23,1,0,0,1,0,1,3,0,0,0,8
2598,2,0,20,0,1,1,0,2,1,0,0,0,0,8
321,1,4,33,1,0,0,0,1,0,5,0,0,0,8
288,4,0,55,1,0,0,1,2,1,5,0,1,1,8
330,1,0,37,1,1,0,0,6,1,3,0,0,0,8
453,0,4,21,1,1,1,0,0,1,6,1,1,1,9
519,8,0,26,0,1,0,1,3,2,3,0,1,1,7
262,2,0,25,1,1,1,0,1,2,4,0,0,0,2
677,5,0,20,0,0,0,0,3,0,4,0,0,0,2
159,1,4,33,1,1,0,1,7,1,7,1,1,1,9
278,1,0,20,1,1,1,0,3,2,0,0,0,0,0
384,1,0,21,1,0,0,0,3,2,0,0,1,1,8
290,2,4,55,0,0,0,1,0,1,0,1,1,1,7
342,1,4,31,1,0,1,0,3,0,3,0,0,0,0
188,5,4,55,1,1,1,1,3,0,5,1,1,1,8
427,3,0,5,0,0,0,0,1,2,1,0,1,0,6
379,2,0,25,0,1,1,0,3,0,0,0,0,0,2
215,0,4,20,1,0,1,0,0,1,5,0,0,0,0
869,2,0,20,0,0,1,0,0,1,3,0,0,0,2
488,7,4,55,0,0,0,0,4,1,5,1,0,1,7
1047,2,0,33,0,0,1,0,0,1,0,0,0,0,8
694,1,0,56,0,0,1,0,3,0,0,0,0,0,8
313,2,4,20,0,1,0,1,2,1,5,0,0,0,8
550,1,0,33,1,0,0,1,3,0,0,0,1,1,0
7181,4,0,55,0,1,1,1,3,2,3,0,1,0,0
422,2,0,5,0,1,1,1,3,0,4,0,0,0,4
1230,9,0,34,0,0,1,0,0,1,5,0,0,1,7
194,0,0,34,1,0,0,1,2,1,0,0,1,1,8
587,2,0,33,0,1,1,0,0,1,5,0,0,0,8
169,3,4,51,0,1,0,1,1,2,6,1,1,1,9
418,4,0,20,0,1,1,0,3,0,6,1,1,1,9
305,2,4,20,0,0,1,0,0,1,3,0,1,1,0
724,2,0,14,0,0,0,1,3,0,3,0,0,0,8
853,0,0,20,0,0,1,0,0,1,0,0,0,0,0
452,8,0,15,0,0,0,0,3,2,2,0,1,0,8
376,3,4,43,0,0,1,0,3,0,4,1,1,1,7
262,7,0,25,1,1,1,0,0,1,1,0,1,0,0
332,3,0,29,0,1,0,0,0,1,3,0,0,0,0
342,6,0,30,1,0,0,1,3,0,1,0,1,1,9
1002,0,2,20,1,0,1,0,1,0,0,0,0,0,0
268,3,0,36,1,1,1,0,3,0,0,0,0,0,8
355,1,0,20,1,1,1,0,3,0,0,0,0,0,8
557,2,0,20,0,0,1,0,3,2,5,0,0,0,7
539,1,0,13,1,0,1,0,0,1,3,0,0,0,8
242,0,0,20,0,1,0,1,5,0,0,0,1,0,7
182464,3,0,55,0,0,0,1,5,2,0,0,0,0,0
214,3,0,40,1,1,0,1,0,1,5,0,0,0,7
279,2,4,28,1,1,1,0,3,2,3,0,1,0,5
790,1,0,30,0,0,1,0,3,2,0,0,0,0,2
630,2,0,20,0,0,1,0,3,2,0,0,0,0,2
997,5,0,39,0,1,0,0,1,2,2,0,0,0,1
142,1,0,25,1,0,0,0,0,1,0,0,1,1,8
507,1,0,31,1,1,1,0,3,0,3,0,0,0,8
1631,9,0,26,0,1,0,1,3,2,2,0,1,0,5
1553,7,0,55,0,0,1,0,3,0,1,0,0,0,6
129,5,0,55,1,0,0,1,1,0,6,1,1,1,9
1425,9,0,5,0,1,0,1,3,0,2,1,1,1,2
667,0,0,20,1,0,0,1,0,1,5,0,0,0,8
157,1,0,34,1,0,0,1,2,1,6,1,1,1,9
